FIR_NO,DISTRICT,POLICE_STATION,CRIME_HEAD,OCCURRENCE_FROM,OCCURRENCE_TO,REGISTRATION_DATE,NO_OF_ACCUSED,WEAPONS_TOOLS,CONCEALMENT,TARGET_TYPE,PROPERTY_STOLEN,MODE_OF_ARRIVAL,MODE_OF_ESCAPE,PLACE_OF_ENTRY,MODE_OF_ENTRY,PREMISES_TYPE,PREMISES_STATUS,SEARCH_TYPE,VEHICLE_TYPE,VEHICLE_START_METHOD,PARKING_PLACE,OFFENDER_VEHICLE,VICTIM_ACTIVITY,ESCAPE_ROUTE,ATM_SITE_TYPE,ATM_ATTACK,ALARM_STATUS,FIR_CONTENTS
MH-NAG-06/0001/2021,Nagpur,MH-NAG-06,CHAIN SNATCHING,06/01/2021 05:51,06/01/2021 05:58,07/01/2021 09:00,ONE,,,CHANCE,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,SCOOTER,WALKING,BY LANES,,,,"On receipt of information, it was learnt that a chain snatching occurred in Nagpur between 06/01/2021 05:51 and 06/01/2021 05:58. It is stated that the accused appear to have picked the target by chance, targeted a victim who was walking, came on a two-wheeler, took gold ornaments, escaped through the lanes, acted alone, fled on a two-wheeler and rode a scooter. Enquiries with nearby residents are in progress. The complainant has submitted bills for some of the items."
MH-NAS-05/0002/2021,Nashik,MH-NAS-05,SHOP BREAKING,06/01/2021 01:19,06/01/2021 05:24,07/01/2021 12:13,ONE,NIL,NIL,,NIL,TWO WHEELER,TWO WHEELER,WINDOW,LOCK BROKEN,BUNGALOW,OCCUPIED,DIRECT TO VALUABLES,,,,,,,,,,"On receipt of information, it was learnt that a break-in at commercial premises occurred in Nashik between 06/01/2021 01:19 and 06/01/2021 05:24. It is stated that the accused made no attempt to avoid identification, struck while the occupants were inside, came on a two-wheeler, struck at night, targeted an independent house, fled on a two-wheeler, broke the lock, left no sign of tools and went straight to where the valuables were kept. The dog squad was summoned to the spot. The complainant noticed the incident on returning and informed the police."
MH-NAS-02/0001/2021,Nashik,MH-NAS-02,SHOP BREAKING,06/01/2021 07:48,07/01/2021 02:48,07/01/2021 16:13,2 TO 3,NIL,NIL,,NIL,TWO WHEELER,ON FOOT,MAIN DOOR,GRILL CUT,SHOP,CLOSED - HOLIDAY,,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-NAS-02 police station limits, Nashik, between 06/01/2021 07:48 and 07/01/2021 02:48. It is stated that the accused were two or three persons, targeted a shop, got in through the door, left no sign of tools, took nothing, struck while the premises were closed for a holiday, came on a two-wheeler, fled on foot, made no attempt to avoid identification and cut the grill. Enquiries with nearby residents are in progress."
MH-THA-05/0002/2021,Thane,MH-THA-05,CHAIN SNATCHING,05/01/2021 04:08,05/01/2021 04:11,07/01/2021 16:48,2 TO 3,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS,ON FOOT,TWO WHEELER,,,,,,,,,MOTOR CYCLE,MORNING WALK,HIGHWAY,,,,"On receipt of information, it was learnt that a chain snatching occurred in Thane between 05/01/2021 04:08 and 05/01/2021 04:11. It is stated that the accused came on foot, appear to have picked the target by chance, left no sign of tools, had their faces covered, struck early in the morning, targeted a victim on a morning walk, rode a motorcycle, fled on a two-wheeler, were two or three persons and took gold ornaments. A spot panchnama was drawn up in the presence of witnesses. Nearby shops were closed at the time."
MH-THA-08/0002/2021,Thane,MH-THA-08,SHOP BREAKING,04/01/2021,05/01/2021,07/01/2021 18:29,ONE,CROWBAR;CUTTER,HAND GLOVES,CHANCE,CASH,ON FOOT,ON FOOT,ROOF / TERRACE,LOCK BROKEN,SHOP CUM RESIDENCE,CLOSED FOR NIGHT,,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Thane (MH-THA-08) sometime between 04/01/2021 and 05/01/2021. It is stated that the accused took cash, wore gloves, appear to have picked the target by chance, came on foot, targeted a shop-cum-residence, struck while the premises were closed for the night, acted alone, used a crowbar, used a cutter and broke the lock. Nearby shops were closed at the time. The complainant noticed the incident on returning and informed the police."
MH-THA-03/0001/2021,Thane,MH-THA-03,MOTOR VEHICLE THEFT,06/01/2021 05:33,06/01/2021 22:47,08/01/2021 05:07,ONE,NIL,NIL,,DOCUMENTS;VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,TOWED AWAY,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-THA-03 police station limits, Thane, between 06/01/2021 05:33 and 06/01/2021 22:47. It is stated that the accused stole a car, took documents, took a vehicle, took it from the roadside, appear to have picked the target by chance, made no attempt to avoid identification and acted alone. Fingerprint experts visited the scene. The complainant has submitted bills for some of the items."
MH-PUN-06/0003/2021,Pune,MH-PUN-06,CHAIN SNATCHING,04/01/2021 18:17,04/01/2021 18:25,08/01/2021 06:08,2 TO 3,NIL,FACE MASKED,,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,MORNING WALK,MAIN ROAD,,,,"On receipt of information, it was learnt that a chain snatching occurred in Pune between 04/01/2021 18:17 and 04/01/2021 18:25. It is stated that the accused fled on a two-wheeler, targeted a victim on a morning walk, had their faces covered, came on a two-wheeler, rode a motorcycle, escaped along the main road, took gold ornaments, left no sign of tools and were two or three persons. A spot panchnama was drawn up in the presence of witnesses. Enquiries with nearby residents are in progress."
MH-KOL-01/0002/2021,Kolhapur,MH-KOL-01,HOUSE BREAKING,07/01/2021 19:19,07/01/2021 20:39,08/01/2021 09:07,2 TO 3,SCREW DRIVER,NIL,CHANCE,CASH,FOUR WHEELER,TWO WHEELER,ROOF / TERRACE,LOCK BROKEN,BUNGALOW,OCCUPIED,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Kolhapur between 07/01/2021 19:19 and 07/01/2021 20:39. It is stated that the accused broke the lock, fled on a two-wheeler, got in through the roof, took cash, struck during the day, targeted an independent house, came in a four-wheeler, ransacked the place, made no attempt to avoid identification, struck while the occupants were inside and were two or three persons. It had been raining heavily that evening. Nearby shops were closed at the time."
MH-THA-01/0002/2021,Thane,MH-THA-01,SHOP BREAKING,07/01/2021 23:52,08/01/2021 06:23,08/01/2021 11:38,2 TO 3,NIL,NIL,RECCE DONE,,TWO WHEELER,TWO WHEELER,MAIN DOOR,LOCK BROKEN,BUNGALOW,LOCKED - OWNER OUT,DIRECT TO VALUABLES,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-THA-01 police station limits, Thane, between 07/01/2021 23:52 and 08/01/2021 06:23. It is stated that the accused struck while the occupants were out, got in through the door, appear to have watched the place beforehand, targeted an independent house, broke the lock, came on a two-wheeler, were two or three persons, fled on a two-wheeler, left no sign of tools and went straight to where the valuables were kept. A spot panchnama was drawn up in the presence of witnesses. Enquiries with nearby residents are in progress."
MH-KOL-01/0003/2021,Kolhapur,MH-KOL-01,MOTOR VEHICLE THEFT,08/01/2021 01:52,08/01/2021 05:29,08/01/2021 13:04,2 TO 3,NIL,NIL,CHANCE,VEHICLE,TWO WHEELER,FOUR WHEELER,,,,,,CAR,DIRECT CONNECTION,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Kolhapur between 08/01/2021 01:52 and 08/01/2021 05:29. It is stated that the accused stole a car, started it by joining the wires, made no attempt to avoid identification, were two or three persons, appear to have picked the target by chance, came on a two-wheeler, fled in a four-wheeler, left no sign of tools and took a vehicle. Street lights in the area were reported not working. Fingerprint experts visited the scene."
MH-PUN-02/0002/2021,Pune,MH-PUN-02,SHOP BREAKING,07/01/2021,08/01/2021,08/01/2021 14:12,4 AND ABOVE,CUTTER,NIL,RECCE DONE,CASH;ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,SHUTTER,LOCK BROKEN,SHOP CUM RESIDENCE,CLOSED FOR NIGHT,DIRECT TO VALUABLES,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Pune (MH-PUN-02) sometime between 07/01/2021 and 08/01/2021. It is stated that the accused broke the lock, were a group of four or more, got in by lifting the shutter, appear to have watched the place beforehand, came on a two-wheeler, made no attempt to avoid identification, fled on a two-wheeler, went straight to where the valuables were kept, targeted a shop-cum-residence and struck while the premises were closed for the night. The complainant has submitted bills for some of the items. A relative of the complainant was the first to notice."
MH-KOL-01/0004/2021,Kolhapur,MH-KOL-01,MOTOR VEHICLE THEFT,04/01/2021 22:18,05/01/2021 01:25,08/01/2021 16:34,ONE,CROWBAR,NIL,CHANCE,,ON FOOT,TWO WHEELER,,,,,,,HANDLE LOCK BROKEN,RLY STN / BUS STAND,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Kolhapur (MH-KOL-01) sometime between 04/01/2021 22:18 and 05/01/2021 01:25. It is stated that the accused took it from station parking, appear to have picked the target by chance, stole a scooter, used a crowbar, made no attempt to avoid identification, fled on a two-wheeler, acted alone, came on foot and broke the handle lock. Nearby shops were closed at the time. Enquiries with nearby residents are in progress."
MH-NAG-01/0003/2021,Nagpur,MH-NAG-01,ATM TAMPERING,07/01/2021 01:11,07/01/2021 12:33,08/01/2021 17:06,2 TO 3,SCREW DRIVER,FACE MASKED,CHANCE,,ON FOOT,ON FOOT,,,,,,,,,,,,BRANCH ATM,FORCIBLY OPENED,ALARM INTACT,"Complainant reports that a ATM tampering took place within MH-NAG-01 police station limits, Nagpur, between 07/01/2021 01:11 and 07/01/2021 12:33. It is stated that the accused forced the machine open, were two or three persons, took cash, used a screwdriver, had their faces covered, left the alarm untouched, came on foot, appear to have picked the target by chance, fled on foot and targeted an ATM at a bank branch. The complainant has submitted bills for some of the items."
MH-NAS-06/0002/2021,Nashik,MH-NAS-06,CHAIN SNATCHING,07/01/2021 06:42,07/01/2021 06:51,08/01/2021 22:57,2 TO 3,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS;CASH,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WALKING,BY LANES,,,,"As per the complaint, unknown persons committed chain snatching in Nashik (MH-NAS-06) sometime between 07/01/2021 06:42 and 07/01/2021 06:51. It is stated that the accused had their faces covered, took gold ornaments, took cash, targeted a victim who was walking, fled on a two-wheeler, struck early in the morning, were two or three persons, appear to have picked the target by chance, escaped through the lanes, came on a two-wheeler and rode a motorcycle. Neighbours stated they did not hear anything unusual. The complainant has submitted bills for some of the items."
MH-PUN-02/0003/2021,Pune,MH-PUN-02,MOTOR VEHICLE THEFT,06/01/2021 16:26,07/01/2021 04:41,09/01/2021 00:41,2 TO 3,,NIL,,,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Pune between 06/01/2021 16:26 and 07/01/2021 04:41. It is stated that the accused were two or three persons, made no attempt to avoid identification, fled on a two-wheeler, took it from the roadside and came on a two-wheeler. A relative of the complainant was the first to notice. It had been raining heavily that evening."
MH-NAG-02/0001/2021,Nagpur,MH-NAG-02,MOTOR VEHICLE THEFT,05/01/2021 10:12,06/01/2021 02:28,09/01/2021 01:28,2 TO 3,NIL,NIL,CHANCE,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,GOODS VEHICLE,TOWED AWAY,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nagpur between 05/01/2021 10:12 and 06/01/2021 02:28. It is stated that the accused made no attempt to avoid identification, were two or three persons, took it from residential parking, appear to have picked the target by chance, lifted or towed it away, left no sign of tools and took a vehicle. Nearby shops were closed at the time. The complainant does not suspect anyone."
MH-PUN-02/0004/2021,Pune,MH-PUN-02,HOUSE BREAKING,04/01/2021 03:37,08/01/2021 23:45,09/01/2021 07:01,ONE,SCREW DRIVER,NIL,CHANCE,GOLD ORNAMENTS;CASH,ON FOOT,ON FOOT,BALCONY,NO FORCE,FLAT,LOCKED - OUT OF STATION,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Pune between 04/01/2021 03:37 and 08/01/2021 23:45. It is stated that the accused targeted an apartment, acted alone, made no attempt to avoid identification, took gold ornaments, took cash, ransacked the place, appear to have picked the target by chance, used a screwdriver, climbed in via the balcony, entered without force and struck while the house was locked for days. Street lights in the area were reported not working. It had been raining heavily that evening."
MH-THA-05/0003/2021,Thane,MH-THA-05,MOTOR VEHICLE THEFT,09/01/2021 01:03,09/01/2021 04:53,09/01/2021 11:17,ONE,NIL,,,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,KEY IN VEHICLE,SOCIETY PARKING,,,,,,,"Complainant reports that a vehicle theft took place within MH-THA-05 police station limits, Thane, between 09/01/2021 01:03 and 09/01/2021 04:53. It is stated that the accused took it from residential parking, fled in a four-wheeler, came on foot, took a vehicle, found the key left in the vehicle, stole a car, acted alone and struck at night. Enquiries with nearby residents are in progress. Neighbours stated they did not hear anything unusual."
MH-THA-04/0003/2021,Thane,MH-THA-04,MOTOR VEHICLE THEFT,08/01/2021 16:31,09/01/2021 02:56,09/01/2021 12:13,2 TO 3,GAS CUTTER,NIL,,VEHICLE,TWO WHEELER,FOUR WHEELER,,,,,,CAR,KEY IN VEHICLE,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-THA-04 police station limits, Thane, between 08/01/2021 16:31 and 09/01/2021 02:56. It is stated that the accused took it from a public parking lot, appear to have watched the place beforehand, came on a two-wheeler, made no attempt to avoid identification, used a gas cutter, struck during the day, fled in a four-wheeler, stole a car and found the key left in the vehicle. The complainant noticed the incident on returning and informed the police. A relative of the complainant was the first to notice."
MH-PUN-06/0004/2021,Pune,MH-PUN-06,MOTOR VEHICLE THEFT,06/01/2021,07/01/2021,09/01/2021 16:57,2 TO 3,NIL,NIL,,,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,DIRECT CONNECTION,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Pune between 06/01/2021 and 07/01/2021. It is stated that the accused were two or three persons, took it from the roadside and made no attempt to avoid identification. Fingerprint experts visited the scene. A relative of the complainant was the first to notice."
MH-NAS-07/0002/2021,Nashik,MH-NAS-07,MOTOR VEHICLE THEFT,08/01/2021 14:04,08/01/2021 20:42,09/01/2021 17:49,2 TO 3,SCREW DRIVER,NIL,,DOCUMENTS;VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,MARKET AREA,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAS-07 police station limits, Nashik, between 08/01/2021 14:04 and 08/01/2021 20:42. It is stated that the accused struck during the day, fled on a two-wheeler, made no attempt to avoid identification, were two or three persons, started it with a duplicate key, stole a motorcycle, took it from a market area, took documents, took a vehicle, used a screwdriver, came on foot and appear to have picked the target by chance. Nearby shops were closed at the time. The complainant does not suspect anyone."
MH-PUN-08/0002/2021,Pune,MH-PUN-08,CHAIN SNATCHING,08/01/2021 17:46,08/01/2021 17:57,09/01/2021 19:47,2 TO 3,NIL,FACE MASKED,,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WAITING AT BUS STOP,,,,,"Complainant reports that a chain snatching took place within MH-PUN-08 police station limits, Pune, between 08/01/2021 17:46 and 08/01/2021 17:57. It is stated that the accused struck during the day, left no sign of tools, fled on a two-wheeler, targeted a victim waiting for transport, took gold ornaments and had their faces covered. Neighbours stated they did not hear anything unusual. Street lights in the area were reported not working."
MH-KOL-07/0001/2021,Kolhapur,MH-KOL-07,MOTOR VEHICLE THEFT,09/01/2021,09/01/2021,09/01/2021 20:05,ONE,,NIL,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,PAY AND PARK,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Kolhapur (MH-KOL-07) sometime between 09/01/2021 and 09/01/2021. It is stated that the accused took it from a public parking lot, appear to have picked the target by chance, stole a motorcycle, acted alone, fled on a two-wheeler, made no attempt to avoid identification, started it with a duplicate key, took a vehicle and came on foot. Nearby shops were closed at the time. The complainant has submitted bills for some of the items."
MH-THA-08/0003/2021,Thane,MH-THA-08,HOUSE BREAKING,09/01/2021 04:36,09/01/2021 08:22,09/01/2021 21:27,2 TO 3,NIL,NIL,CHANCE,,ON FOOT,ON FOOT,MAIN DOOR,DOOR FORCED,SHOP CUM RESIDENCE,,SELECTIVE,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Thane (MH-THA-08) sometime between 09/01/2021 04:36 and 09/01/2021 08:22. It is stated that the accused took only selected valuables, made no attempt to avoid identification, forced the door open, came on foot, were two or three persons, targeted a shop-cum-residence, fled on foot, appear to have picked the target by chance and struck early in the morning. A spot panchnama was drawn up in the presence of witnesses. Neighbours stated they did not hear anything unusual."
